key,time,all_swamps___total_rabbits
0-2,863,218.519732223
0-2,864,234.439822031
0-2,865,248.766821452
0-2,866,260.466245445
0-2,867,268.742143463
0-2,868,273.37339556
0-2,869,275.064881983
0-2,870,275.722269883
0-2,871,278.600813667
0-2,872,288.385434687
0-2,873,311.375674785
0-2,874,356.004714714
0-2,875,433.912999367
0-2,876,561.78237616
0-2,877,764.188239208
0-2,878,1077.87493079
0-2,879,1558.08704699
0-2,880,2287.8988622
0-2,881,3391.71489791
0-2,882,5053.68635336
0-2,883,7536.75867535
0-2,884,11158.5694332
0-2,885,15807.8603795
0-2,886,16191.2600341
0-2,887,3970.84545307
0-2,888,469.07933488
0-2,889,180.044870506
0-2,890,164.826063647
0-2,891,175.687226602
0-2,892,190.493390156
0-2,893,206.26341395
0-2,894,221.851308102
0-2,895,236.139662462
0-2,896,247.86801604
0-2,897,255.745372636
0-2,898,258.677926013
0-2,899,256.040377065
0-2,900,247.891012244
0-2,901,235.023898741
0-2,902,218.80945673
0-2,903,200.877721776
0-2,904,182.775658523
0-2,905,165.723628277
0-2,906,150.522821838
0-2,907,137.588479352
0-2,908,127.048097343
0-0,909,279.509066287
0-0,910,277.754000814
0-0,911,350.497604883
0-0,912,438.766336822
0-0,913,513.988557056
0-0,914,536.912108673
0-0,915,483.504549808
0-0,916,379.13387249
0-0,917,275.203643138
0-0,918,199.908159929
0-0,919,154.061800163
0-0,920,129.776347456
0-0,921,120.498776563
0-0,922,122.822522774
0-0,923,135.973658484
0-0,924,161.213498346
0-0,925,201.401315817
0-0,926,260.27727164
0-0,927,340.554924297
0-0,928,439.641085922
0-0,929,543.643512586
0-0,930,629.094884861
0-0,931,693.859972179
0-0,932,814.300991291
0-0,933,1175.89544964
0-0,934,2103.51687487
0-0,935,4209.24951677
0-0,936,8641.02324316
0-0,937,16059.7597559
0-0,938,10048.8619192
0-0,939,736.301898831
0-0,940,194.175880055
0-0,941,193.828905685
0-0,942,242.116970612
0-0,943,312.514838804
0-0,944,398.896759789
0-0,945,484.602382459
0-0,946,535.617783671
0-0,947,516.09341183
0-0,948,428.103850167
0-0,949,318.445103056
0-0,950,229.228323917
0-0,951,171.239305543
0-0,952,138.481721223
0-0,953,123.303708532
0-0,954,120.98260714
0-0,955,129.790764866
0-0,956,150.404472281
0-0,957,185.57188474
0-0,958,239.925848064
0-0,959,319.443676561
0-0,960,429.851496288
0-0,961,574.262493437
0-0,962,756.530370878
0-0,963,1012.11922898
0-0,964,1491.30590948
0-0,965,2575.53531598
0-0,966,5020.47405752
0-0,967,10116.8331701
0-0,968,17299.7491027
0-0,969,6155.10372187
0-0,970,438.683671787
